instance,status,solve_time,build_time,load_time,total_time,objective_value,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2015-06-01_reserves_0.json,optimal,656.0847628116608,13.428148746490479,0.010195255279541016,669.5231068134308,41684.018925966506,0.005133292953798087,,.\ca\2015-06-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,0.0
2014-12-01_reserves_0.json,optimal,708.5831212997437,13.385679244995117,0.006510257720947266,721.9753108024597,39230.324262118185,0.0036465379752232555,,.\ca\2014-12-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,0.0
2015-03-01_reserves_0.json,optimal,712.7862112522125,13.395040273666382,0.008710384368896484,726.1899619102478,31780.91218191405,0.004578632144245174,,.\ca\2015-03-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,0.0
2014-12-01_reserves_1.json,optimal,745.3109648227692,18.65512204170227,0.010038375854492188,763.9761252403259,39263.841776019704,0.009904131724394864,,.\ca\2014-12-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,12144.9
2015-06-01_reserves_1.json,optimal,924.2038831710815,16.691998958587646,0.009524106979370117,940.9054062366486,41716.16447905249,0.00618623815956545,,.\ca\2015-06-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,12740.06
Scenario400_reserves_0.json,optimal,332.8167734146118,27.0892071723938,0.01660299301147461,359.9225835800171,33533.928365510845,0.009806934449972743,,.\ca\Scenario400_reserves_0.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,0.0
2015-03-01_reserves_1.json,optimal,3125.678011894226,21.39781641960144,0.009029150009155273,3147.0848574638367,31808.815716888694,0.010000923135864417,,.\ca\2015-03-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,10395.76
2015-03-01_reserves_3.json,optimal,4150.957107543945,13.340839385986328,0.008710384368896484,4164.3066573143005,31877.742444700372,0.0009427772564832796,,.\ca\2015-03-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,31187.28
2015-04-01_hw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-04-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,96381,83304.1,197125.2
2015-10-01_hw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-10-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,86443,77715.38,205723.0
