instance,objective_value,status,solve_time,build_time,load_time,total_time,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2014-09-01_reserves_5.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2014-09-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,69546.13
2015-03-01_reserves_3.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2015-03-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,31187.28
Scenario400_reserves_0.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/Scenario400_reserves_0.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,0.0
2015-06-01_reserves_1.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2015-06-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,12740.06
Scenario400_reserves_3.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/Scenario400_reserves_3.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,50112.64
2020-02-09.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-02-09.json,48,73,81,1,117,292,16128,28416,44544,41263,4504.42,3595.41,5177.39
2014-12-01_reserves_5.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2014-12-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,60724.52
2020-01-27.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-01-27.json,48,73,81,1,117,292,16128,28416,44544,41263,4502.07,3815.48,5494.29
2015-03-01_reserves_1.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2015-03-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,10395.76
2015-03-01_reserves_5.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2015-03-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,51978.8
2014-12-01_reserves_1.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2014-12-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,12144.9
Scenario400_reserves_5.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/Scenario400_reserves_5.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,83521.07
2015-06-01_reserves_0.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2015-06-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,0.0
2014-12-01_reserves_0.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2014-12-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,0.0
2014-12-01_reserves_3.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2014-12-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,36434.71
2015-03-01_reserves_0.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2015-03-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,0.0
2015-06-01_reserves_5.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2015-06-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,63700.28
2020-03-05.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-03-05.json,48,73,81,1,117,292,16128,28416,44544,41263,4328.01,3688.14,5310.92
2014-09-01_reserves_3.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2014-09-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,41727.68
2020-05-05.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-05-05.json,48,73,81,1,117,292,16128,28416,44544,41263,5284.09,4205.39,6055.76
2020-07-06.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-07-06.json,48,73,81,1,117,292,16128,28416,44544,41263,6459.71,5072.87,7304.93
2014-09-01_reserves_0.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2014-09-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,0.0
2020-08-12.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-08-12.json,48,73,81,1,117,292,16128,28416,44544,41263,8017.52,5938.12,8550.9
